"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",121434.194468515,124208.573933967,126579.944645201,124267.593170514,125734.409191685,124477.80738455,128433.083631955,130306.458145116,130890.332330913,133367.399918893,130455.939443403,128284.692962398,123604.665259664,115959.734730007,107681.447988254,99173.0439593997,91713.1541574744,88868.297412063,86533.5441847315,84493.8699479308,82248.4848604352,80602.104287893,79956.716483946,79018.2473049891,77863.858238157,77794.9764002603,78908.7707589314,82280.0671886343,85254.8030433445,96989.9087758664,105257.570543995,108249.946614649,112380.27286881,116031.785887262,117881.355944697,120650.730236019
"2",76243.1968622019,76856.1870338561,77533.2989094936,75756.5277448431,74419.1892623347,73907.0835960801,76002.9982309224,79191.2836702546,81784.2555450784,86581.6770102429,89084.1371494084,91982.8371571109,93539.9816468032,94002.5637908268,92409.4854393413,87473.3159433619,82579.0205859772,79172.7091475039,75955.0509912669,74506.2757406737,72061.3053124155,71353.9986913869,70961.3777234102,70394.6813860593,69371.5980283241,71215.8243359195,71056.4255498606,71050.0696719377,71385.1745271917,74164.5562226198,76223.48820973,75963.0968406537,75977.2399036289,76225.4425314761,77564.8427391179,78681.9257694424
"3",100809.240830008,102159.527841263,103284.947168311,102001.704017841,102586.284531751,101145.025416582,104869.747373743,108385.983959884,108349.971318147,116467.332570305,121257.834365489,126127.770498177,128320.819578458,134492.091117942,135395.325826114,133402.154347567,126644.174699682,122364.122225858,115977.432266763,113777.407226197,110485.326951393,108768.079454305,106730.589703201,105233.115067868,104769.059899785,104640.016260444,105282.072739223,104887.390361412,103565.003163232,107781.369558885,106898.309648174,106405.467769876,105427.016844365,103014.94842959,103944.048234919,104183.60831444
"4",51919.7654269133,52077.1935059257,50993.9628000172,51115.8210104722,50899.4854352558,49616.8973434565,51331.7742159654,53259.9124107659,54688.3537326345,57676.0701375098,59238.1732813901,62350.2176299075,65473.3020696163,68097.4872736889,68420.291819229,67199.5225072581,67570.1907778914,66367.2632006354,65664.1850138669,64696.464856972,64090.2225218216,63661.9772692001,63757.6880861751,62645.5189314751,62756.7234663744,63103.2342599502,63096.2839981347,62311.2979223823,61470.6965974271,61055.1546329045,59086.9427858164,57184.2885911455,55133.4401862483,54323.0406740714,53967.0644445273,53087.3865807331
"5",89296.6906453913,90410.4097258697,89793.3644006963,90300.1144430859,90830.197716676,89401.7398647274,94117.6565592184,98607.3161579,101160.676335869,108178.37209445,111833.593132861,116930.682309271,122472.535511189,125460.364809012,126533.748492768,126196.091746668,124091.150681652,122773.318891437,122329.926488499,122875.934206407,123434.636450221,121263.755047193,120345.359207471,119037.802294215,118222.309099271,116022.938017556,114476.878072681,110846.275827494,109496.387290602,109112.476836245,102497.964256569,100491.879134615,96211.2280422436,94813.582095227,94645.7975280348,92788.845278605
"6",121603.942622695,125179.632380679,118206.805892158,123563.044614518,122992.833380366,120461.271126789,127293.169729398,135478.654719928,144451.245405069,161984.918820905,169682.756564076,178589.411949513,189153.27041353,197473.771224447,200447.200151151,199126.421127994,194870.056386091,188364.248784112,181384.959435775,178696.689608726,176590.33012078,175937.58689429,176278.977278879,176763.538581317,177147.725594599,174436.59648841,174627.709200129,170074.752017907,167699.87642474,165169.819299109,152729.339112177,146733.548470682,138045.009124262,133691.493007609,133191.236840821,126569.85722363
"7",101089.095539078,105569.199476901,95049.2514332018,100996.864124147,106461.884749763,102644.977928694,107417.585427993,110499.56187421,119412.364953289,136178.033975203,146654.731568453,158231.339103096,173423.019593018,180843.94782031,184327.06857345,189130.565452712,189054.284292031,188878.213632207,185690.725120081,182147.398932463,177493.199476124,176877.886837044,176580.087113696,177633.88562466,178161.012336247,174339.202443363,173336.145563504,166596.294625029,164140.383408543,151221.492626074,140405.933584393,133896.334141507,120727.61269835,118072.184291308,110234.68167099,110333.974750015
"8",89606.1364792267,97147.8556299365,93569.5515909006,95229.6978585673,99360.5947964643,92971.8733200058,99863.6761777226,103191.694578756,111975.4401428,124138.331711277,133746.097120755,140747.9414593,148380.35662916,151834.420156095,154294.148017894,158023.84216811,156565.491382549,154737.490896224,152586.617657701,147422.036762755,142952.393507379,141291.833778603,140512.735245305,141213.155019862,142295.874355442,139523.820668216,138853.444225735,134417.226726908,132444.653577212,125229.722561704,118303.141943908,111280.883993182,103704.416094783,106000.704096088,102093.154873336,100418.659223482
"9",103673.60066821,106728.970518619,98043.5316111971,100860.165431306,113290.947320111,101920.32507215,105607.465023758,110450.217888848,119083.760649398,128636.466221978,143329.770663055,163936.051329002,177535.927270684,188023.155678514,193844.399418787,195955.677712386,195544.370359613,188223.207615604,183409.058596769,171868.201167713,166149.425619408,161590.064389558,163103.336754226,163385.659800915,162810.395237299,159098.380898587,159045.464636975,154014.999405971,154234.464030747,143803.957326865,131320.203596395,130484.829918774,116726.297741912,115795.198398026,109839.572063472,108506.69926281
"10",92162.7696830428,97150.2260287085,91302.4596926484,97074.7058500206,100789.069371352,94667.8039952785,99329.1751034572,103323.448774765,110057.984761499,120182.027487114,134250.544188961,145293.847187731,155564.872115864,158927.259384277,164516.730325839,167638.578847994,164250.463491193,160180.275530073,157994.422629769,148066.416862127,140300.486421009,134985.381962164,135238.297317179,136507.915233642,137668.939499341,134938.280763694,136294.493459698,133845.968608112,134303.623481275,125232.887581839,116767.013701095,112660.711205572,106745.405743756,104680.256353886,95748.7446251605,98500.0460603519
"11",75507.3324149195,76933.2922339519,67283.5147722763,78245.2935802242,87808.4070098996,76012.3793649344,82271.7217109567,83606.6596388481,90472.4300188453,97007.5331786141,109776.624531859,132679.515394804,152096.426312752,164682.637714633,174822.688902253,176839.660385424,176492.970901408,172038.961144028,168150.133775602,157391.24033052,152576.945511439,147388.362749613,146101.268695781,143884.337345174,143288.13120914,139070.899611594,138139.432872007,133232.13542143,129295.909426394,122240.470117463,108138.772182896,105208.946218394,91698.2483895804,88364.0647760081,89024.873774758,88402.6548818178
"12",43155.4501209377,47451.7753691881,42065.4225843437,46541.241815776,54967.9652442014,51124.2020699144,52862.8070436438,54800.3063882506,56268.8662269092,58253.8426496526,62238.0903833022,68592.9949582223,76363.727593312,80810.402262307,86907.5963705616,90569.2705017793,90764.69673373,88089.1607804048,89265.3465871673,86366.4666574934,82986.8795691768,80502.309901844,79932.8823522862,80854.6574979675,80886.0645172002,78530.2837578765,77617.9939593328,74806.8854453071,74788.7972270399,66969.2538209659,61823.2006454017,60522.6775160363,52012.4535979253,55438.6484573663,41319.0431895365,42161.8788804846
