year_id,period_id,origin,destination,period,start,end
4_2017,1,3,3,864000,2020-01-01,2020-01-11
7_2016,1,0,0,864000,2020-01-01,2020-01-11
12_2016,1,0,0,864000,2020-01-01,2020-01-11
12_2017,1,1,1,864000,2020-01-01,2020-01-11
12_2018,1,1,1,864000,2020-01-01,2020-01-11
12_2019,1,1,1,864000,2020-01-01,2020-01-11
12_2020,1,1,1,864000,2020-01-01,2020-01-11
12_2021,1,1,1,864000,2020-01-01,2020-01-11
12_2022,1,1,1,864000,2020-01-01,2020-01-11
14_2016,1,0,0,864000,2020-01-01,2020-01-11
23_2016,1,0,0,864000,2020-01-01,2020-01-11
23_2017,1,1,1,864000,2020-01-01,2020-01-11
24_2016,1,0,0,864000,2020-01-01,2020-01-11
24_2017,1,1,1,864000,2020-01-01,2020-01-11
24_2018,1,1,1,864000,2020-01-01,2020-01-11
47_2017,1,2,2,864000,2020-01-01,2020-01-11
47_2018,1,2,1,864000,2020-01-01,2020-01-11
48_2016,1,0,0,864000,2020-01-01,2020-01-11
48_2017,1,1,1,864000,2020-01-01,2020-01-11
62_2016,1,0,0,864000,2020-01-01,2020-01-11
62_2017,1,1,1,864000,2020-01-01,2020-01-11
83_2016,1,0,0,864000,2020-01-01,2020-01-11
83_2017,1,1,1,864000,2020-01-01,2020-01-11
84_2016,1,0,0,864000,2020-01-01,2020-01-11
84_2017,1,0,0,864000,2020-01-01,2020-01-11
84_2018,1,0,0,864000,2020-01-01,2020-01-11
84_2019,1,1,1,864000,2020-01-01,2020-01-11
92_2016,1,0,0,864000,2020-01-01,2020-01-11
92_2017,1,1,1,864000,2020-01-01,2020-01-11
102_2016,1,0,0,864000,2020-01-01,2020-01-11
124_2018,1,5,5,864000,2020-01-01,2020-01-11
124_2019,1,1,1,864000,2020-01-01,2020-01-11
129_2016,1,0,0,864000,2020-01-01,2020-01-11
129_2017,1,2,2,864000,2020-01-01,2020-01-11
129_2018,1,2,2,864000,2020-01-01,2020-01-11
132_2017,1,3,3,864000,2020-01-01,2020-01-11
132_2018,1,1,1,864000,2020-01-01,2020-01-11
135_2016,1,0,0,864000,2020-01-01,2020-01-11
135_2017,1,1,1,864000,2020-01-01,2020-01-11
145_2015,1,0,0,864000,2020-01-01,2020-01-11
145_2016,1,1,1,864000,2020-01-01,2020-01-11
145_2017,1,1,1,864000,2020-01-01,2020-01-11
146_2015,1,0,0,864000,2020-01-01,2020-01-11
146_2016,1,1,1,864000,2020-01-01,2020-01-11
153_2015,1,0,0,864000,2020-01-01,2020-01-11
153_2016,1,1,1,864000,2020-01-01,2020-01-11
153_2017,1,,,864000,2020-01-01,2020-01-11
153_2018,1,1,1,864000,2020-01-01,2020-01-11
153_2019,1,,,864000,2020-01-01,2020-01-11
153_2020,1,,,864000,2020-01-01,2020-01-11
157_2015,1,0,0,864000,2020-01-01,2020-01-11
157_2016,1,1,1,864000,2020-01-01,2020-01-11
157_2017,1,1,1,864000,2020-01-01,2020-01-11
157_2018,1,3,1,864000,2020-01-01,2020-01-11
158_2015,1,0,0,864000,2020-01-01,2020-01-11
164_2016,1,5,5,864000,2020-01-01,2020-01-11
164_2017,1,,,864000,2020-01-01,2020-01-11
175_2016,1,5,5,864000,2020-01-01,2020-01-11
175_2017,1,1,1,864000,2020-01-01,2020-01-11
175_2018,1,1,1,864000,2020-01-01,2020-01-11
228_2016,1,0,0,864000,2020-01-01,2020-01-11
228_2017,1,1,1,864000,2020-01-01,2020-01-11
228_2018,1,1,1,864000,2020-01-01,2020-01-11
228_2019,1,1,1,864000,2020-01-01,2020-01-11
228_2020,1,1,1,864000,2020-01-01,2020-01-11
228_2021,1,1,1,864000,2020-01-01,2020-01-11
228_2022,1,1,1,864000,2020-01-01,2020-01-11
228_2023,1,1,1,864000,2020-01-01,2020-01-11
228_2024,1,1,1,864000,2020-01-01,2020-01-11
256_2017,1,0,0,864000,2020-01-01,2020-01-11
256_2018,1,1,1,864000,2020-01-01,2020-01-11
256_2019,1,1,1,864000,2020-01-01,2020-01-11
258_2017,1,0,0,864000,2020-01-01,2020-01-11
258_2018,1,1,1,864000,2020-01-01,2020-01-11
258_2019,1,1,1,864000,2020-01-01,2020-01-11
267_2017,1,0,0,864000,2020-01-01,2020-01-11
267_2018,1,2,1,864000,2020-01-01,2020-01-11
267_2019,1,1,1,864000,2020-01-01,2020-01-11
286_2017,1,0,0,864000,2020-01-01,2020-01-11
286_2018,1,1,1,864000,2020-01-01,2020-01-11
286_2019,1,1,1,864000,2020-01-01,2020-01-11
300_2017,1,0,0,864000,2020-01-01,2020-01-11
300_2018,1,2,2,864000,2020-01-01,2020-01-11
305_2017,1,0,0,864000,2020-01-01,2020-01-11
305_2018,1,1,1,864000,2020-01-01,2020-01-11
309_2018,1,3,3,864000,2020-01-01,2020-01-11
315_2017,1,0,0,864000,2020-01-01,2020-01-11
315_2018,1,1,1,864000,2020-01-01,2020-01-11
315_2019,1,1,1,864000,2020-01-01,2020-01-11
321_2018,1,3,3,864000,2020-01-01,2020-01-11
321_2019,1,1,1,864000,2020-01-01,2020-01-11
322_2017,1,0,0,864000,2020-01-01,2020-01-11
322_2018,1,1,1,864000,2020-01-01,2020-01-11
322_2019,1,1,1,864000,2020-01-01,2020-01-11
330_2017,1,0,0,864000,2020-01-01,2020-01-11
