ID,bird_id,period_id,n,period,start,end
1,4,27,10,864000,2020-09-21,2020-10-01
1,4,28,95,864000,2020-10-01,2020-10-11
1,7,30,140,950400,2020-10-21,2020-11-01
1,7,31,159,864000,2020-11-01,2020-11-11
1,7,32,34,864000,2020-11-11,2020-11-21
1,7,33,42,864000,2020-11-21,2020-12-01
1,12,1,1034,864000,2020-01-01,2020-01-11
1,12,2,1164,864000,2020-01-11,2020-01-21
1,12,3,1515,950400,2020-01-21,2020-02-01
1,12,4,1310,864000,2020-02-01,2020-02-11
1,12,5,1107,864000,2020-02-11,2020-02-21
1,12,6,626,777600,2020-02-21,2020-03-01
1,12,7,584,864000,2020-03-01,2020-03-11
1,12,8,571,864000,2020-03-11,2020-03-21
1,12,9,478,950400,2020-03-21,2020-04-01
1,12,10,362,864000,2020-04-01,2020-04-11
1,12,11,62,864000,2020-04-11,2020-04-21
1,12,28,10,864000,2020-10-01,2020-10-11
1,12,29,352,864000,2020-10-11,2020-10-21
1,12,30,968,950400,2020-10-21,2020-11-01
1,12,31,888,864000,2020-11-01,2020-11-11
1,12,32,836,864000,2020-11-11,2020-11-21
1,12,33,1090,864000,2020-11-21,2020-12-01
1,12,34,1237,864000,2020-12-01,2020-12-11
1,12,35,1040,864000,2020-12-11,2020-12-21
1,12,36,1112,864000,2020-12-21,2020-12-31
1,14,30,159,950400,2020-10-21,2020-11-01
1,14,31,196,864000,2020-11-01,2020-11-11
1,23,1,269,864000,2020-01-01,2020-01-11
1,23,2,223,864000,2020-01-11,2020-01-21
1,23,3,403,950400,2020-01-21,2020-02-01
1,23,4,378,864000,2020-02-01,2020-02-11
1,23,5,380,864000,2020-02-11,2020-02-21
1,23,6,268,777600,2020-02-21,2020-03-01
1,23,7,337,864000,2020-03-01,2020-03-11
1,23,8,314,864000,2020-03-11,2020-03-21
1,23,9,46,950400,2020-03-21,2020-04-01
1,23,10,9,864000,2020-04-01,2020-04-11
1,23,32,268,864000,2020-11-11,2020-11-21
1,23,33,258,864000,2020-11-21,2020-12-01
1,23,34,262,864000,2020-12-01,2020-12-11
1,23,35,285,864000,2020-12-11,2020-12-21
1,23,36,318,864000,2020-12-21,2020-12-31
1,24,1,584,864000,2020-01-01,2020-01-11
1,24,2,353,864000,2020-01-11,2020-01-21
1,24,3,409,950400,2020-01-21,2020-02-01
1,24,4,366,864000,2020-02-01,2020-02-11
1,24,5,372,864000,2020-02-11,2020-02-21
1,24,6,288,777600,2020-02-21,2020-03-01
1,24,7,279,864000,2020-03-01,2020-03-11
1,24,8,331,864000,2020-03-11,2020-03-21
1,24,9,382,950400,2020-03-21,2020-04-01
1,24,10,378,864000,2020-04-01,2020-04-11
1,24,11,22,864000,2020-04-11,2020-04-21
1,24,28,41,864000,2020-10-01,2020-10-11
1,24,29,330,864000,2020-10-11,2020-10-21
1,24,30,289,950400,2020-10-21,2020-11-01
1,24,31,300,864000,2020-11-01,2020-11-11
1,24,32,300,864000,2020-11-11,2020-11-21
1,24,33,318,864000,2020-11-21,2020-12-01
1,24,34,587,864000,2020-12-01,2020-12-11
1,24,35,555,864000,2020-12-11,2020-12-21
1,24,36,651,864000,2020-12-21,2020-12-31
1,47,2,73,864000,2020-01-11,2020-01-21
1,47,3,318,950400,2020-01-21,2020-02-01
1,47,28,96,864000,2020-10-01,2020-10-11
1,48,1,378,864000,2020-01-01,2020-01-11
1,48,2,380,864000,2020-01-11,2020-01-21
1,48,3,418,950400,2020-01-21,2020-02-01
1,48,4,372,864000,2020-02-01,2020-02-11
1,48,5,371,864000,2020-02-11,2020-02-21
1,48,6,292,777600,2020-02-21,2020-03-01
1,48,7,336,864000,2020-03-01,2020-03-11
1,48,8,335,864000,2020-03-11,2020-03-21
1,48,9,370,950400,2020-03-21,2020-04-01
1,48,10,324,864000,2020-04-01,2020-04-11
1,48,30,358,950400,2020-10-21,2020-11-01
1,48,31,499,864000,2020-11-01,2020-11-11
