"","origin","period_id","n"
"1",1,1,103
"2",1,2,111
"3",1,3,107
"4",1,4,101
"5",1,5,94
"6",1,6,84
"7",1,7,70
"8",1,8,52
"9",1,9,41
"10",1,10,31
"11",1,11,23
"12",1,12,15
"13",1,13,7
"14",1,14,4
"15",1,15,3
"16",1,16,2
"17",1,27,8
"18",1,28,32
"19",1,29,56
"20",1,30,72
"21",1,31,82
"22",1,32,88
"23",1,33,93
"24",1,34,94
"25",1,35,95
"26",1,36,98
"27",2,1,220
"28",2,2,215
"29",2,3,211
"30",2,4,208
"31",2,5,185
"32",2,6,143
"33",2,7,117
"34",2,8,81
"35",2,9,82
"36",2,10,62
"37",2,11,50
"38",2,12,41
"39",2,13,31
"40",2,14,14
"41",2,15,8
"42",2,16,9
"43",2,17,8
"44",2,18,5
"45",2,19,5
"46",2,20,5
"47",2,21,4
"48",2,22,3
"49",2,23,2
"50",2,24,2
"51",2,25,3
"52",2,26,4
"53",2,27,29
"54",2,28,87
"55",2,29,131
"56",2,30,176
"57",2,31,186
"58",2,32,189
"59",2,33,204
"60",2,34,204
"61",2,35,205
"62",2,36,222
"63",3,1,172
"64",3,2,169
"65",3,3,161
"66",3,4,157
"67",3,5,135
"68",3,6,120
"69",3,7,96
"70",3,8,66
"71",3,9,49
"72",3,10,42
"73",3,11,33
"74",3,12,24
"75",3,13,19
"76",3,14,9
"77",3,15,6
"78",3,16,3
"79",3,17,4
"80",3,18,3
"81",3,19,3
"82",3,20,3
"83",3,21,3
"84",3,22,3
"85",3,23,2
"86",3,24,2
"87",3,25,2
"88",3,26,3
"89",3,27,12
"90",3,28,39
"91",3,29,79
"92",3,30,109
"93",3,31,121
"94",3,32,141
"95",3,33,152
"96",3,34,166
"97",3,35,168
"98",3,36,170
"99",4,1,80
"100",4,2,81
"101",4,3,68
"102",4,4,64
"103",4,5,53
"104",4,6,45
"105",4,7,39
"106",4,8,28
"107",4,9,23
"108",4,10,17
"109",4,11,16
"110",4,12,21
"111",4,13,19
"112",4,14,17
"113",4,15,15
"114",4,16,16
"115",4,17,21
"116",4,18,15
"117",4,19,9
"118",4,20,8
"119",4,21,9
"120",4,22,7
"121",4,23,8
"122",4,24,11
"123",4,25,9
"124",4,26,17
"125",4,27,73
"126",4,28,108
"127",4,29,94
"128",4,30,69
"129",4,31,59
"130",4,32,65
"131",4,33,54
"132",4,34,70
"133",4,35,75
"134",4,36,69
"135",5,1,219
"136",5,2,221
"137",5,3,224
"138",5,4,202
"139",5,5,173
"140",5,6,119
"141",5,7,94
"142",5,8,69
"143",5,9,49
"144",5,10,33
"145",5,11,24
"146",5,12,14
"147",5,13,17
"148",5,14,16
"149",5,15,17
"150",5,16,13
"151",5,17,9
"152",5,18,5
"153",5,19,7
"154",5,20,4
"155",5,21,3
"156",5,22,1
"157",5,23,1
"158",5,24,1
"159",5,25,2
"160",5,26,5
"161",5,27,44
"162",5,28,74
"163",5,29,119
"164",5,30,131
"165",5,31,124
"166",5,32,142
"167",5,33,163
"168",5,34,179
"169",5,35,216
"170",5,36,225
"171",6,1,312
"172",6,2,283
"173",6,3,267
"174",6,4,274
"175",6,5,293
"176",6,6,338
"177",6,7,376
"178",6,8,416
"179",6,9,437
"180",6,10,432
"181",6,11,458
"182",6,12,449
"183",6,13,460
"184",6,14,465
"185",6,15,454
"186",6,16,488
"187",6,17,573
"188",6,18,639
"189",6,19,656
"190",6,20,637
"191",6,21,623
"192",6,22,633
"193",6,23,627
"194",6,24,635
"195",6,25,642
"196",6,26,663
"197",6,27,638
"198",6,28,566
"199",6,29,505
"200",6,30,463
"201",6,31,398
"202",6,32,382
"203",6,33,357
"204",6,34,357
"205",6,35,349
"206",6,36,322
"207",7,1,254
"208",7,2,252
"209",7,3,246
"210",7,4,267
"211",7,5,324
"212",7,6,401
"213",7,7,458
"214",7,8,519
"215",7,9,553
"216",7,10,593
"217",7,11,596
"218",7,12,626
"219",7,13,636
"220",7,14,673
"221",7,15,700
"222",7,16,742
"223",7,17,868
"224",7,18,965
"225",7,19,967
"226",7,20,969
"227",7,21,966
"228",7,22,934
"229",7,23,934
"230",7,24,913
"231",7,25,897
"232",7,26,860
"233",7,27,739
"234",7,28,635
"235",7,29,536
"236",7,30,491
"237",7,31,456
"238",7,32,417
"239",7,33,391
"240",7,34,319
"241",7,35,271
"242",7,36,274
"243",8,15,1
"244",8,20,1
"245",8,21,1
"246",8,22,1
"247",8,23,1
"248",8,24,1
"249",9,9,1
"250",9,16,2
"251",9,18,3
"252",9,19,4
"253",9,20,5
"254",9,21,6
"255",9,22,4
"256",9,23,6
"257",9,24,5
"258",9,25,5
"259",9,26,4
"260",9,27,4
"261",9,28,2
"262",9,29,1
"263",10,9,1
"264",10,10,1
"265",10,11,1
"266",10,15,1
"267",10,16,1
"268",10,17,1
"269",10,18,2
"270",10,19,1
"271",10,20,3
"272",10,21,2
"273",10,22,3
"274",10,23,2
"275",10,24,3
"276",10,25,4
"277",10,26,3
"278",10,27,1
